,scale,reporting,no,item,reverse
0,지각된 인기,또래지명,PN1,가장 인기가 있는,N
1,사회적 선호,또래지명,PN2,가장 같이 놀고 싶은,N
2,사회적 선호,또래지명,PN3,가장 같이 놀기 싫은,N
3,외현적 공격성,또래지명,PN4,문제를 일으키는/학교의 규칙을 지키지 않는,N
4,외현적 공격성,또래지명,PN5,싸움을 하는,N
5,관계적 공격성,또래지명,PN6,험담을 하거나 다른 친구를 소외시키는,N
6,관계적 공격성,또래지명,PN7,나쁜 소문을 퍼뜨리는,N
7,친사회성,또래지명,PN8,친절한,N
8,친사회성,또래지명,PN9,협력적인,N
9,인기추구,학생보고(5점 리커트),SR1,나는 인기있는 아이와 친구가 되고 싶다.,N
10,인기추구,학생보고(5점 리커트),SR2,나는 인기있는 무리에 속하고 싶다.,N
11,인기추구,학생보고(5점 리커트),SR3,나는 인기있는 사람이 되고 싶다.,N
12,인기상실불안,학생보고(5점 리커트),SR4,나는 인기없는 아이와는 친구가 되고 싶지 않다.,N
13,인기상실불안,학생보고(5점 리커트),SR5,나는 인기없는 무리에 속하고 싶지 않다.,N
14,인기상실불안,학생보고(5점 리커트),SR6,나는 인기없는 사람이 되고 싶지 않다.,N
15,또래 괴롭힘 가해,또래지명,PN10,친구를 괴롭히는 행동을 시작하는,N
16,또래 괴롭힘 가해,또래지명,PN11,괴롭힘에 다른 사람을 참여하도록 하는,N
17,또래 괴롭힘 피해,또래지명,PN12,다른 아이들에게 자주 놀림을 받는,N
18,또래 괴롭힘 피해,또래지명,PN13,다른 아이들에게 맞거나 욕설을 듣는,N
19,인지적 공감,학생보고(5점 리커트),SR7,나는 학교에서 나보다 어려운 친구를 보면 걱정되고 마음이 아프다.,N
20,인지적 공감,학생보고(5점 리커트),SR8,"가끔은 다른 사람이 어려움을 겪고 있더라도, 나는 그렇게 안타까움이나 미안함을 느끼지 않는다.",Y
21,인지적 공감,학생보고(5점 리커트),SR9,다른 사람을 이용하는 학생과는 친구가 되고 싶지 않다.,N
22,인지적 공감,학생보고(5점 리커트),SR10,다른 사람의 불행은 나와는 크게 상관이 없는 일이다.,Y
23,인지적 공감,학생보고(5점 리커트),SR11,다른 사람이 불공평한 일을 겪어도 나와 관련 없으면 상관없다.,Y
24,인지적 공감,학생보고(5점 리커트),SR12,나는 종종 내가 본 일에 대해 감동받는다.,N
25,인지적 공감,학생보고(5점 리커트),SR13,나는 스스로를 마음이 고운 사람이라고 말할 수 있다.,N
26,정서적 공감,학생보고(5점 리커트),SR14,내 생각을 정하기 전에 나와 생각이 다른 친구의 의견을 들어보려고 한다.,N
