point_item_no,rater,student,score
TR1,teacher,student1,4
TR1,teacher,student2,3
TR1,teacher,student3,2
TR1,teacher,student4,1
TR1,teacher,student5,4
TR1,teacher,student6,1
TR1,teacher,student7,4
TR1,teacher,student8,2
TR1,teacher,student9,2
TR1,teacher,student10,5
TR1,teacher,student11,4
TR1,teacher,student12,5
TR1,teacher,student13,1
TR1,teacher,student14,1
TR1,teacher,student15,5
TR1,teacher,student16,1
TR1,teacher,student17,5
TR1,teacher,student18,1
TR1,teacher,student19,5
TR1,teacher,student20,2
TR2,teacher,student1,2
TR2,teacher,student2,3
TR2,teacher,student3,1
TR2,teacher,student4,5
TR2,teacher,student5,3
TR2,teacher,student6,5
TR2,teacher,student7,5
TR2,teacher,student8,3
TR2,teacher,student9,5
TR2,teacher,student10,1
TR2,teacher,student11,1
TR2,teacher,student12,1
TR2,teacher,student13,3
TR2,teacher,student14,3
TR2,teacher,student15,3
TR2,teacher,student16,1
TR2,teacher,student17,3
TR2,teacher,student18,2
TR2,teacher,student19,5
TR2,teacher,student20,2
TR3,teacher,student1,1
TR3,teacher,student2,3
TR3,teacher,student3,3
TR3,teacher,student4,4
TR3,teacher,student5,1
TR3,teacher,student6,3
TR3,teacher,student7,3
TR3,teacher,student8,4
TR3,teacher,student9,4
TR3,teacher,student10,4
TR3,teacher,student11,3
TR3,teacher,student12,3
TR3,teacher,student13,2
TR3,teacher,student14,5
TR3,teacher,student15,4
TR3,teacher,student16,1
TR3,teacher,student17,4
TR3,teacher,student18,5
TR3,teacher,student19,5
TR3,teacher,student20,5
TR4,teacher,student1,1
TR4,teacher,student2,2
TR4,teacher,student3,5
TR4,teacher,student4,2
TR4,teacher,student5,2
TR4,teacher,student6,5
TR4,teacher,student7,4
TR4,teacher,student8,5
TR4,teacher,student9,3
TR4,teacher,student10,1
TR4,teacher,student11,5
TR4,teacher,student12,2
TR4,teacher,student13,2
TR4,teacher,student14,5
TR4,teacher,student15,3
TR4,teacher,student16,5
TR4,teacher,student17,5
TR4,teacher,student18,5
TR4,teacher,student19,4
TR4,teacher,student20,5
TR5,teacher,student1,3
TR5,teacher,student2,1
TR5,teacher,student3,5
TR5,teacher,student4,4
TR5,teacher,student5,3
TR5,teacher,student6,1
TR5,teacher,student7,2
TR5,teacher,student8,5
TR5,teacher,student9,1
TR5,teacher,student10,5
TR5,teacher,student11,4
TR5,teacher,student12,2
TR5,teacher,student13,1
TR5,teacher,student14,4
TR5,teacher,student15,2
TR5,teacher,student16,3
TR5,teacher,student17,4
TR5,teacher,student18,1
TR5,teacher,student19,2
TR5,teacher,student20,2
TR6,teacher,student1,3
TR6,teacher,student2,5
TR6,teacher,student3,2
TR6,teacher,student4,2
TR6,teacher,student5,3
TR6,teacher,student6,5
TR6,teacher,student7,2
TR6,teacher,student8,4
TR6,teacher,student9,3
TR6,teacher,student10,4
TR6,teacher,student11,4
TR6,teacher,student12,3
TR6,teacher,student13,3
TR6,teacher,student14,3
TR6,teacher,student15,1
TR6,teacher,student16,5
TR6,teacher,student17,1
TR6,teacher,student18,4
TR6,teacher,student19,1
TR6,teacher,student20,5
TR7,teacher,student1,3
TR7,teacher,student2,4
TR7,teacher,student3,5
TR7,teacher,student4,5
TR7,teacher,student5,5
TR7,teacher,student6,4
TR7,teacher,student7,5
TR7,teacher,student8,4
TR7,teacher,student9,2
TR7,teacher,student10,5
TR7,teacher,student11,5
TR7,teacher,student12,3
TR7,teacher,student13,5
TR7,teacher,student14,4
TR7,teacher,student15,1
TR7,teacher,student16,1
TR7,teacher,student17,1
TR7,teacher,student18,4
TR7,teacher,student19,5
TR7,teacher,student20,3
TR8,teacher,student1,2
TR8,teacher,student2,1
TR8,teacher,student3,4
TR8,teacher,student4,1
TR8,teacher,student5,5
TR8,teacher,student6,4
TR8,teacher,student7,1
TR8,teacher,student8,3
TR8,teacher,student9,3
TR8,teacher,student10,5
TR8,teacher,student11,3
TR8,teacher,student12,3
TR8,teacher,student13,1
TR8,teacher,student14,1
TR8,teacher,student15,2
TR8,teacher,student16,4
TR8,teacher,student17,2
TR8,teacher,student18,5
TR8,teacher,student19,1
TR8,teacher,student20,1
TR9,teacher,student1,2
TR9,teacher,student2,5
TR9,teacher,student3,5
TR9,teacher,student4,4
TR9,teacher,student5,3
TR9,teacher,student6,4
TR9,teacher,student7,4
TR9,teacher,student8,4
TR9,teacher,student9,2
TR9,teacher,student10,2
TR9,teacher,student11,1
TR9,teacher,student12,3
TR9,teacher,student13,1
TR9,teacher,student14,1
TR9,teacher,student15,2
TR9,teacher,student16,1
TR9,teacher,student17,5
TR9,teacher,student18,4
TR9,teacher,student19,2
TR9,teacher,student20,4
TR10,teacher,student1,4
TR10,teacher,student2,5
TR10,teacher,student3,2
TR10,teacher,student4,5
TR10,teacher,student5,4
TR10,teacher,student6,5
TR10,teacher,student7,1
TR10,teacher,student8,3
TR10,teacher,student9,4
TR10,teacher,student10,1
TR10,teacher,student11,2
TR10,teacher,student12,2
TR10,teacher,student13,2
TR10,teacher,student14,4
TR10,teacher,student15,2
TR10,teacher,student16,3
TR10,teacher,student17,2
TR10,teacher,student18,1
TR10,teacher,student19,3
TR10,teacher,student20,2
