"PSY_CODE","CLASS_CODE","TARGET_CODE","PSY_TARGET","AT_STATUS_CD","PN_CHECK","SR_CHECK","SCT_CHECK","TR_CHECK","USER_TESTING_NO","REG_MEMBER_NO","REG_DATE","MOD_MEMBER_NO","MOD_DATE"
P202507041AFF,M1000000120253017C9D,M10000001,TEACHER,"0003",N,Y,N,Y,"3293cdbc10824e05a5c0",M10000001,"2025-07-04 02:34:08",,
P202507041AFF,M1000000120253017C9D,M1000000120253017C9D001,STUDENT,"0003",Y,Y,Y,N,"7f9ee1ebe4ae48b99fb6",M10000001,"2025-07-04 01:48:11",,
P202507041AFF,M1000000120253017C9D,M1000000120253017C9D002,STUDENT,"0003",Y,Y,Y,N,"0596ed3ac69549df883c",M10000001,"2025-07-04 01:48:11",,
P202507041AFF,M1000000120253017C9D,M1000000120253017C9D003,STUDENT,"0003",Y,Y,Y,N,d0ed9248364c4ebeb383,M10000001,"2025-07-04 01:48:11",,
P202507041AFF,M1000000120253017C9D,M1000000120253017C9D004,STUDENT,"0003",Y,Y,Y,N,dffc5e507c16464dad30,M10000001,"2025-07-04 01:48:11",,
P202507041AFF,M1000000120253017C9D,M1000000120253017C9D005,STUDENT,"0003",Y,Y,Y,N,fe56a38b6f314e80b931,M10000001,"2025-07-04 01:48:11",,
P202507046A44,M1000000120253017C9D,M10000001,TEACHER,"0003",N,Y,N,Y,"342d4d36a6904959b8cc",M10000001,"2025-07-04 05:23:05",,
P202507046A44,M1000000120253017C9D,M1000000120253017C9D001,STUDENT,"0003",Y,Y,Y,N,"6c9edadf1ed54ace9f29",M10000001,"2025-07-04 04:35:13",,
P202507046A44,M1000000120253017C9D,M1000000120253017C9D002,STUDENT,"0003",Y,Y,Y,N,"9696e86fbb9746a3b556",M10000001,"2025-07-04 04:35:13",,
P202507046A44,M1000000120253017C9D,M1000000120253017C9D003,STUDENT,"0003",Y,Y,Y,N,"94a6a48901ef4ac7b68b",M10000001,"2025-07-04 04:35:13",,
P202507046A44,M1000000120253017C9D,M1000000120253017C9D004,STUDENT,"0003",Y,Y,Y,N,b06c46be00ca45afba53,M10000001,"2025-07-04 04:35:13",,
P202507046A44,M1000000120253017C9D,M1000000120253017C9D005,STUDENT,"0003",Y,Y,Y,N,"3c50b2a68d15405c8aaa",M10000001,"2025-07-04 04:35:13",M10000001,"2025-07-04 07:19:24"
P202507070C5F,AC037820254013BEF,AC037820254013BEF012,STUDENT,"0003",Y,Y,Y,N,e52eedd3f57b42fe99c1,M10000006,"2025-07-07 02:51:14",,
P202507070C5F,AC037820254013BEF,AC037820254013BEF022,STUDENT,"0001",N,N,N,N,"9e8ba0d70b884bcf8200",M10000006,"2025-07-07 02:51:14",,
P202507070C5F,AC037820254013BEF,M10000006,TEACHER,"0003",N,Y,N,Y,"1ec2a933f4034320972a",M10000006,"2025-07-07 02:52:30",,
P2025070713C2,M1000000820253022C2E,M10000008,TEACHER,"0001",N,N,N,N,"844f7c814cdb4fd895ea",M10000008,"2025-07-08 02:45:38",,
P2025070713C2,M1000000820253022C2E,M1000000820253022C2E001,STUDENT,"0001",N,N,N,N,c306f1935a0a4d479824,M10000008,"2025-07-07 05:30:27",,
P2025070713C2,M1000000820253022C2E,M1000000820253022C2E002,STUDENT,"0001",N,N,N,N,"7486800041f44eddb61c",M10000008,"2025-07-07 05:30:27",,
P2025070713C2,M1000000820253022C2E,M1000000820253022C2E003,STUDENT,"0001",N,N,N,N,f88a31f9635f481c96e5,M10000008,"2025-07-07 05:30:27",,
P2025070713C2,M1000000820253022C2E,M1000000820253022C2E004,STUDENT,"0001",N,N,N,N,f6edb52eac4149858248,M10000008,"2025-07-07 05:30:27",,
P2025070713C2,M1000000820253022C2E,M1000000820253022C2E005,STUDENT,"0001",N,N,N,N,"4f8ea55010b647d38609",M10000008,"2025-07-07 05:30:27",,
P202507071746,AC037820254013BEF,AC037820254013BEF012,STUDENT,"0001",N,N,N,N,"2ba6887189c24b528816",M10000006,"2025-07-07 04:06:23",,
P202507071746,AC037820254013BEF,AC037820254013BEF022,STUDENT,"0001",N,N,N,N,"637cb454a62a4588822e",M10000006,"2025-07-07 04:06:23",,
P202507073D05,LC048920253073A4B,LC048920253073A4B001,STUDENT,"0001",N,N,N,N,a327d46a4f224c0f8118,M10000005,"2025-07-07 04:47:20",M10000005,"2025-07-08 01:54:55"
P202507073D05,LC048920253073A4B,LC048920253073A4B003,STUDENT,"0001",N,N,N,N,"1173c8637a1d4028aafb",M10000005,"2025-07-07 04:47:20",,
P202507074212,AC037820254013BEF,AC037820254013BEF001,STUDENT,"0003",Y,Y,Y,N,da22f9ffae524820936f,M10000006,"2025-07-07 04:08:33",,
P202507074212,AC037820254013BEF,AC037820254013BEF002,STUDENT,"0003",Y,Y,Y,N,"48cc1b2cf0374ee98d90",M10000006,"2025-07-07 04:08:33",,
P202507074212,AC037820254013BEF,AC037820254013BEF003,STUDENT,"0003",Y,Y,Y,N,"1a7613baf10744c1bb1f",M10000006,"2025-07-07 04:08:33",,
P202507074212,AC037820254013BEF,AC037820254013BEF011,STUDENT,"0003",Y,Y,Y,N,b217f06724e743309764,M10000006,"2025-07-07 04:08:33",,
P202507074212,AC037820254013BEF,AC037820254013BEF012,STUDENT,"0003",Y,Y,Y,N,d6d9dfbd873f444ea16d,M10000006,"2025-07-07 04:08:33",,
P202507074212,AC037820254013BEF,AC037820254013BEF022,STUDENT,"0003",Y,Y,Y,N,"82bf11542a5b4d45a82a",M10000006,"2025-07-07 04:08:33",,
P202507074212,AC037820254013BEF,M10000006,TEACHER,"0003",N,Y,N,Y,"3d7919c8607f4424a9a3",M10000006,"2025-07-07 04:09:16",,
P202507074736,AC0001202530101AF,AC0001202530101AF011,STUDENT,"0001",N,N,N,N,ffc458afb08744b6be57,M10000001,"2025-07-07 02:22:54",,
P202507074736,AC0001202530101AF,M10000001,TEACHER,"0003",N,Y,N,Y,edb048f4d54f48c791ef,M10000001,"2025-07-07 06:25:40",,
