"CLASS_CODE","STUDENT_CODE","STUDENT_NAME","STUDENT_SEX","STUDENT_BIRTH","STUDENT_NUM","STUDENT_CELLPHONE_NUM","STUDENT_EMAIL","USE_YN","MEMO","REG_MEMBER_NO","REG_DATE","MOD_MEMBER_NO","MOD_DATE"
AC000120251018666,AC000120251018666001,FBAAD36D6583DF3705BF7CA3B813A9F3,"1",D136DF2C04D8C9F325101765D27F3FC8,"1",,,N,"25.08.11 전출",M10000001,"2025-08-06 14:59:44",M10000001,"2025-08-11 14:39:01"
AC000120251018666,AC000120251018666002,"7B6C903E5F57C0708763EEB49437D2F0","1","18C8143CF470840B8C7EBD388FA3DEE1","2",,,N,"25.08.11 입학",M10000001,"2025-08-06 16:21:06",M10000001,"2025-08-21 15:59:12"
AC000120251018666,AC000120251018666003,"0D37A6CE4D67EFFEC9244FB18129923B","1",B6FCFAE81F975D8339B7DEA559032795,"3",,,Y,ㅂㅈㄷㄱ,M10000001,"2025-08-06 16:22:01",M10000001,"2025-08-06 16:48:29"
AC000120251018666,AC000120251018666005,"0D37A6CE4D67EFFEC9244FB18129923B","2","70BB4DFC42952964DF198A3881CCA4FE","5",,,Y,"",M10000001,"2025-08-06 16:22:57",,
AC000120251018666,AC000120251018666006,"0D37A6CE4D67EFFEC9244FB18129923B","2",EA72E21F0AB0FD2B045F0A7D89A3C5B0,"6",,,Y,ㅈㄷㄱ,M10000001,"2025-08-06 16:26:27",M10000001,"2025-08-06 17:04:12"
AC000120251018666,AC000120251018666007,"1D023BE50FF2A10EF277D9800B21C88A","1","6FC0BF3602C1E19F181A217A68742DED","7",,,Y,잘생김,M10000001,"2025-08-06 17:51:13",,
AC000120251018666,AC000120251018666008,"3168C279FF40A5F9A978057CDF6B3AE0","1","6FC0BF3602C1E19F181A217A68742DED","8",,,Y,이쁨,M10000001,"2025-08-06 17:51:13",,
AC000120251018666,AC000120251018666009,A75B20DECDEC7884E43A80608E7984EE,"1","6FC0BF3602C1E19F181A217A68742DED","9",,,Y,멋짐,M10000001,"2025-08-06 17:51:13",,
AC000120251018666,AC000120251018666010,CF3E76E10CC3B1573E0F66425FEACD70,"2","6FC0BF3602C1E19F181A217A68742DED","10",,,Y,키큼,M10000001,"2025-08-06 17:51:13",,
AC000120251018666,AC000120251018666011,"099B80FF23AB233D3B0D7FFC0C834A62","2","6FC0BF3602C1E19F181A217A68742DED","11",,,Y,날씬함,M10000001,"2025-08-06 17:51:13",,
AC000120251018666,AC000120251018666012,"1D7BAB96677E39C0349D5BAA39AC9EC1","2","6FC0BF3602C1E19F181A217A68742DED","12",,,Y,착함,M10000001,"2025-08-06 17:51:13",,
AC00012025105CF61,AC00012025105CF61001,FBAAD36D6583DF3705BF7CA3B813A9F3,"1",D136DF2C04D8C9F325101765D27F3FC8,"1",,,Y,"",M10000001,"2025-08-13 16:48:49",,
AC00012025105CF61,AC00012025105CF61002,"9687151FF20856B195D0287AA2665D38","2",D136DF2C04D8C9F325101765D27F3FC8,"2",,,Y,"",M10000001,"2025-08-13 16:48:49",,
AC00012025105CF61,AC00012025105CF61003,"574A5C13AB9F48454D25D9A2842912F1","1",D136DF2C04D8C9F325101765D27F3FC8,"3",,,Y,"",M10000001,"2025-08-13 16:48:49",,
AC00012025105CF61,AC00012025105CF61004,AE712E424CA5EF6BED2E899B3A0D8040,"2",D136DF2C04D8C9F325101765D27F3FC8,"4",,,Y,"",M10000001,"2025-08-13 16:48:49",,
AC00012025105CF61,AC00012025105CF61005,"0FB86CA6C6188E4BC274ED537EEF2F2D","2",D136DF2C04D8C9F325101765D27F3FC8,"5",,,Y,"",M10000001,"2025-08-13 16:48:49",,
AC00012025105CF61,AC00012025105CF61010,"0E2C8A1477D8526A941BE489FAEFE60A","2",D136DF2C04D8C9F325101765D27F3FC8,"10",,,Y,"",M10000001,"2025-08-13 16:48:49",,
AC00012025105CF61,AC00012025105CF61011,"636F650E254814FB0AC5D582980C6425","1",D136DF2C04D8C9F325101765D27F3FC8,"11",,,Y,"",M10000001,"2025-08-13 16:48:49",,
AC0001202530101AF,AC0001202530101AF001,FBAAD36D6583DF3705BF7CA3B813A9F3,"1",D136DF2C04D8C9F325101765D27F3FC8,"1",,,Y,비고 내용 없습니다.,M10000001,"2025-07-07 04:02:46",M10000001,"2025-07-31 17:33:57"
AC0001202530101AF,AC0001202530101AF002,"1D023BE50FF2A10EF277D9800B21C88A","1",D72CD2B84A1D8069D12BE8B4A71BF289,"2",,,Y,"",M10000001,"2025-07-09 01:47:59",,
