문항1 (친구가 속상해 보일 때 나는 보통 ________),문항2 (수업 중 질문이 나오면 나는 ________),문항3 (수업 시간은 보통 ________ 느낌이다.),문항4 (친구랑 함께 공부하면 나는 ________),문항5 (친구보다 점수가 낮으면 나는 ________),문항6 (실수했을 때 나는 보통 ________),문항7 (사람들이 나를 어떻게 생각할지 떠올리면 나는 보통 ________),문항8 (친구들 앞에서 발표할 때 나는 ________),문항9 (앞으로 어떤 길을 갈지 결정하는 것은 나에게 ________),문항10 (친한 친구와 다투었을 때 나는 ________),문항11 (반에서 잘 어울리지 못하는 친구가 있을 때 나는 ________),문항12 (친구들과 의견이 다를 때 나는 보통 ________)
조언한다,먼저 답한다,집중된다,리드한다,분하다,다시 도전한다,평가받는 느낌이다,자신 있게 한다,중요하다,먼저 사과한다,도와준다,내 주장을 편다
걱정된다,조용히 듣는다,무난하다,혼자 한다,아쉽다,반성한다,부담된다,떨린다,신중하다,조용히 풀린다,그냥 넘어간다,참고 듣는다
신경 안 쓴다,귀찮다,지루하다,대충 한다,짜증난다,무시한다,상관없다,불편하다,귀찮다,그냥 넘긴다,모른 척한다,세게 맞선다
위로한다,조용히 듣는다,편안하다,즐겁다,괜찮다,미안해한다,조금 걱정된다,떨리지만 한다,신중하다,먼저 화해한다,다가간다,부드럽게 말한다
모른 척한다,듣기만 한다,길게 느껴진다,혼자 한다,신경 안 쓴다,조용히 넘긴다,불안하다,피한다,어렵다,거리를 둔다,그냥 본다,말하지 않는다
충고한다,정답을 말한다,지루하지 않다,이끌려 한다,분하다,화낸다,신경 안 쓴다,자신 있다,내가 정한다,강하게 나온다,무시한다,내 의견을 밀어붙인다
괜찮냐고 묻는다,눈치 본다,평범하다,무난하다,괜찮다,그냥 웃는다,신경 안 쓴다,조금 떨린다,생각해본다,기다린다,살짝 돕는다,조심히 말한다
귀찮다,시큰둥하다,지루하다,혼자 한다,짜증난다,무시한다,상관없다,하기 싫다,귀찮다,안 본다,관심 없다,맞선다
달랜다,상황 본다,안정적이다,맞춰준다,괜찮다,금방 넘긴다,신경 쓴다,자연스럽다,신중하다,먼저 풀려 한다,다가간다,조율한다
충고한다,바로 말한다,답답하다,이끌려 한다,질투난다,짜증낸다,상관없다,자신 있다,내가 정한다,강하게 반응한다,무시한다,내 의견을 밀어붙인다
조용히 본다,참여 안 한다,길게 느껴진다,혼자 한다,괜찮다,그냥 넘긴다,불안하다,피한다,어렵다,거리 둔다,그냥 본다,말 안 한다
웃기려 한다,장난친다,재밌다,즐겁다,별로 신경 안 쓴다,금방 넘긴다,대수롭지 않다,긴장된다,쉽게 정한다,농담한다,도와준다,웃으며 말한다
위로한다,눈치 본다,편하다,맞춰준다,괜찮다,금방 잊는다,신경 쓴다,자연스럽다,신중하다,먼저 화해한다,도와준다,부드럽게 말한다
걱정된다,조용히 듣는다,무난하다,혼자 한다,속상하다,반성한다,부담된다,떨린다,신중하다,조용히 풀린다,그냥 넘어간다,참고 듣는다
조심스럽다,말 안 한다,불안하다,혼자 한다,속상하다,움츠러든다,신경 쓴다,떨린다,어렵다,마음 아프다,도와주고 싶다,피한다
다가간다,손든다,재미있다,리드한다,자극된다,다시 도전한다,자신 있다,즐겁다,중요하다,먼저 사과한다,도와준다,내 생각을 말한다
위축된다,말 못 한다,긴장된다,조용하다,속상하다,불안하다,신경 쓴다,피한다,어렵다,울고 싶다,모른 척한다,침묵한다
웃기려 한다,농담한다,재밌다,즐겁다,별로 신경 안 쓴다,금방 넘긴다,대수롭지 않다,자신 있다,쉽게 정한다,장난친다,다가간다,웃으며 말한다
신경 안 쓴다,귀찮다,지루하다,대충 한다,짜증난다,무시한다,상관없다,하기 싫다,귀찮다,그냥 넘긴다,모른 척한다,세게 맞선다
위로한다,먼저 손든다,활기차다,주도한다,자극된다,다시 도전한다,자신 있다,즐겁다,중요하다,먼저 화해한다,도와준다,내 생각을 말한다
