"USER_TESTING_NO","SCALE_CODE","YYYYMM","RAW_TOTAL_SCORE","ORIGIN_TOTAL_SCORE","SUBS_YN"
"00d9a93bb5a04be2bbb7",A01,202507,"10","10",
"00d9a93bb5a04be2bbb7",B01,202507,"8","8",
"00d9a93bb5a04be2bbb7",C01,202507,"21","21",
"00d9a93bb5a04be2bbb7",D01,202507,"25","25",
"00d9a93bb5a04be2bbb7",E01,202507,"35","35",
"00d9a93bb5a04be2bbb7",F01,202507,"12","12",
"00d9a93bb5a04be2bbb7",G01,202507,"24","24",
"00d9a93bb5a04be2bbb7",H01,202507,"14","14",
"00d9a93bb5a04be2bbb7",I01,202507,"19","19",
"00d9a93bb5a04be2bbb7",J01,202507,"27","27",
"00d9a93bb5a04be2bbb7",K01,202507,"28","28",
"00d9a93bb5a04be2bbb7",L01,202507,"29","29",
"01926796d1074a32b192",A01,202507,"15","15",
"01926796d1074a32b192",B01,202507,"7","7",
"01926796d1074a32b192",C01,202507,"31","31",
"01926796d1074a32b192",D01,202507,"35","35",
"01926796d1074a32b192",E01,202507,"10","10",
"01926796d1074a32b192",F01,202507,"20","20",
"01926796d1074a32b192",G01,202507,"25","25",
"01926796d1074a32b192",H01,202507,"25","25",
"01926796d1074a32b192",I01,202507,"35","35",
"01926796d1074a32b192",J01,202507,"25","25",
"01926796d1074a32b192",K01,202507,"45","45",
"01926796d1074a32b192",L01,202507,"15","15",
"02859494c6e34905ba14",A01,202507,"12","12",
"02859494c6e34905ba14",B01,202507,"9","9",
"02859494c6e34905ba14",C01,202507,"4","4",
"02859494c6e34905ba14",D01,202507,"10","10",
"02859494c6e34905ba14",E01,202507,"13","13",
"0363196c9c154e678d34",A01,202507,"3","3",
"0363196c9c154e678d34",B01,202507,"3","3",
"0363196c9c154e678d34",C01,202507,"31","31",
"0363196c9c154e678d34",D01,202507,"35","35",
"0363196c9c154e678d34",E01,202507,"19","19",
"0363196c9c154e678d34",F01,202507,"18","18",
"0363196c9c154e678d34",G01,202507,"25","25",
"0363196c9c154e678d34",H01,202507,"25","25",
"0363196c9c154e678d34",I01,202507,"34","34",
"0363196c9c154e678d34",J01,202507,"13","13",
"0363196c9c154e678d34",K01,202507,"45","45",
