"PSY_CODE","CLASS_CODE","PSY_ORD_TARGET","PSY_ORD_NO","PSY_NAME","PSY_URL","START_DATE","END_DATE","ORIGINAL_END_DATE","LONGITUDINAL_YN","CLOSE_YN","USE_YN","USE_CNT","USE_DATE","MEMO","REG_MEMBER_NO","REG_DATE","MOD_MEMBER_NO","MOD_DATE"
P202507041AFF,M1000000120253017C9D,,P2507041029560e3a263,"25년 7월 1회차",P202507041AFF-M1000000120253017C9D,"20250703","20250711",,Y,Y,,0,,,M10000001,"2025-07-04 01:48:11",,
P202507046A44,M1000000120253017C9D,,P2507041029560e3a263,"25년 7월 2회차_연구개발검수",P202507046A44-M1000000120253017C9D,"20250704","20250731",,Y,Y,,0,,,M10000001,"2025-07-04 04:35:13",,
P202507070C5F,AC037820254013BEF,,P2507070211334306775,"25년 7월 1회차",P202507070C5F-AC037820254013BEF,"20250707","20250731",,Y,Y,,0,,,M10000006,"2025-07-07 02:51:14",,
P2025070713C2,M1000000820253022C2E,,P2507070525257a9c723,"25년 7월 1회차",P2025070713C2-M1000000820253022C2E,"20250707","20250731",,Y,Y,,0,,,M10000008,"2025-07-07 05:30:27",,
P202507073D05,LC048920253073A4B,,P25070704080644ae643,&#40;1회&#41; 3학년 7반 ,P202507073D05-LC048920253073A4B,"20250707","20250707",,Y,Y,,0,,,M10000005,"2025-07-07 04:47:20",,
P202507074212,AC037820254013BEF,,P2507070211334306775,"25년 7월 3회차",P202507074212-AC037820254013BEF,"20250707","20250731",,Y,Y,,0,,,M10000006,"2025-07-07 04:08:33",,
P202507074736,AC0001202530101AF,,P2507041007510da4ac5,"25년 7월 1회차",P202507074736-AC0001202530101AF,"20250707","20250807","20250731",Y,N,,0,,,M10000001,"2025-07-07 02:22:54",,
P202507075FAD,M1000000120253017C9D,,P2507041029560e3a263,"25년 7월 3회차_연구개발검수",P202507075FAD-M1000000120253017C9D,"20250707","20250731",,Y,Y,,0,,,M10000001,"2025-07-07 02:11:13",,
P20250707DE85,AC0001202530101AF,,P2507041007510da4ac5,"25년 7월 2회차",P20250707DE85-AC0001202530101AF,"20250707","20250730",,Y,Y,,0,,,M10000001,"2025-07-07 02:23:39",,
P20250708097C,AC00332025402E7A5,,P25070801344605f162e,"25년 7월 1회차",P20250708097C-AC00332025402E7A5,"20250701","20250703",,Y,Y,,0,,,M10000019,"2025-07-08 04:40:33",,
P202507080DBB,M1000000820253022C2E,,P2507070525257a9c723,"25년 7월 2회차",P202507080DBB-M1000000820253022C2E,"20250708","20250731",,Y,N,,0,,,M10000008,"2025-07-08 02:20:17",,
P202507082B88,M100000202025502B523,,P2507080821309bc5e1e,"25년 7월 1회차",P202507082B88-M100000202025502B523,"20250617","20250731","20250724",Y,N,,0,,,M10000020,"2025-07-08 08:28:45",,
P202507083664,M100000212025401E799,,P2507080146437a3e70b,"25년 7월 2회차",P202507083664-M100000212025401E799,"20250708","20250807",,Y,Y,,0,,,M10000021,"2025-07-08 05:00:30",,
P202507084DED,AC00332025301B2C8,,P25070801344605f162e,"25년 7월 1회차",P202507084DED-AC00332025301B2C8,"20250706","20250718",,Y,N,,0,,,M10000016,"2025-07-08 04:53:20",,
P202507085A1B,M100000212025401E799,,P2507080146437a3e70b,"25년 7월 1회차",P202507085A1B-M100000212025401E799,"20250708","20250807",,Y,Y,,0,,,M10000021,"2025-07-08 01:56:27",,
P202507086284,AC0001202530101AF,,P2507041007510da4ac5,"25년 7월 3회차",P202507086284-AC0001202530101AF,"20250707","20250709",,Y,N,,0,,,M10000001,"2025-07-08 08:00:52",,
P202507086502,M1000000120253017C9D,,P2507041029560e3a263,"25년 7월 4회차_연구개발",P202507086502-M1000000120253017C9D,"20250708","20250731",,Y,Y,,0,,,M10000001,"2025-07-08 04:20:58",,
P202507086E9E,AC037820254013BEF,,P2507070211334306775,"25년 7월 3회차",P202507086E9E-AC037820254013BEF,"20250708","20250708",,Y,Y,,0,,,M10000006,"2025-07-08 06:30:24",,
P20250708740B,AC000120256016589,,P250708043436e55f5e5,"25년 7월 1회차(1회차)",P20250708740B-AC000120256016589,"20250707","20250724",,Y,Y,,0,,,M10000001,"2025-07-08 06:27:03",,
P202507087A39,AC00332025402E7A5,,P25070801344605f162e,"25년 7월 2회차",P202507087A39-AC00332025402E7A5,"20250707","20250718",,Y,N,,0,,,M10000019,"2025-07-08 04:47:18",,
P20250708B5F0,M100000212025401E799,,P2507080146437a3e70b,"25년 7월 3회차",P20250708B5F0-M100000212025401E799,"20250708","20250807",,Y,Y,,0,,,M10000021,"2025-07-08 08:28:39",,
P20250708FDAE,AC0033202550318CD,,P25070801344605f162e,"25년 7월 1회차",P20250708FDAE-AC0033202550318CD,"20250708","20250715",,Y,N,,0,,,M10000018,"2025-07-08 03:58:57",,
P2025070901E3,AC028020256033124,,P25070901034256a963f,"25년 7월 1회차",P2025070901E3-AC028020256033124,"20250709","20250807","20250731",Y,Y,,0,,,M10000023,"2025-07-09 01:35:21",,
P202507090C1F,AC02802025502806C,,P25070901034256a963f,"25년 7월 3회차",P202507090C1F-AC02802025502806C,"20250708","20250724",,Y,N,,0,,,M10000020,"2025-07-09 01:34:01",,
