"PSY_ESTIMATE_NO","PSY_ESTIMATE_DETAIL_NO","ESTIMATE_YMD","MEMBER_NO","PSY_ITEM_ID","PSY_ORD_TYPE_CD","YYYY","GRADE","ORD_CNT","PRICE","PAYMENT_AMT","REG_DATE"
E25082016264440425c8,1,"20250820",M10000041,PEER_RELATIONSHIP,"1001","2025",1,10,10,100,"2025-08-20 16:26:43"
E25082016264440425c8,2,"20250820",M10000041,PEER_RELATIONSHIP,"1002","2026",2,1,10,10,"2025-08-20 16:26:43"
E25082016264440425c8,3,"20250820",M10000041,PEER_RELATIONSHIP,"1003","2025",6,20,10,200,"2025-08-20 16:26:43"
E250820174722bfee50e,1,"20250820",M10000041,PEER_RELATIONSHIP,"1001","2025",1,10,1,10,"2025-08-20 17:47:22"
E250820174722bfee50e,2,"20250820",M10000041,PEER_RELATIONSHIP,"1002","2026",2,22,1,22,"2025-08-20 17:47:22"
E250820174722bfee50e,3,"20250820",M10000041,PEER_RELATIONSHIP,"1003","2025",6,1,1,1,"2025-08-20 17:47:22"
E2508210909474e741ad,1,"20250821",M10000041,PEER_RELATIONSHIP,"1001","2025",4,1,1,1,"2025-08-21 09:09:46"
E2508210909474e741ad,2,"20250821",M10000041,PEER_RELATIONSHIP,"1001","2025",5,10,1,10,"2025-08-21 09:09:46"
E2508210909474e741ad,3,"20250821",M10000041,PEER_RELATIONSHIP,"1002","2025",2,1,1,1,"2025-08-21 09:09:46"
E25082109330520678d1,1,"20250821",M10000001,PEER_RELATIONSHIP,"1002","2025",1,1,1,1,"2025-08-21 09:33:03"
E25082109330520678d1,2,"20250821",M10000001,PEER_RELATIONSHIP,"1002","2025",2,1,1,1,"2025-08-21 09:33:03"
E25082109330520678d1,3,"20250821",M10000001,PEER_RELATIONSHIP,"1002","2025",3,1,1,1,"2025-08-21 09:33:03"
E25082109330520678d1,4,"20250821",M10000001,PEER_RELATIONSHIP,"1002","2025",4,1,1,1,"2025-08-21 09:33:03"
E25082109330520678d1,5,"20250821",M10000001,PEER_RELATIONSHIP,"1002","2025",5,1,1,1,"2025-08-21 09:33:03"
E25082109330520678d1,6,"20250821",M10000001,PEER_RELATIONSHIP,"1002","2025",6,1,1,1,"2025-08-21 09:33:03"
E2508210942040974095,1,"20250821",M10000041,PEER_RELATIONSHIP,"1002","2025",3,1,1,1,"2025-08-21 09:42:03"
E2508210942040974095,2,"20250821",M10000041,PEER_RELATIONSHIP,"1001","2025",5,1,1,1,"2025-08-21 09:42:03"
E2508210942040974095,3,"20250821",M10000041,PEER_RELATIONSHIP,"1003","2025",1,10,1,10,"2025-08-21 09:42:03"
E2508210942040974095,4,"20250821",M10000041,PEER_RELATIONSHIP,"1001","2026",3,12,1,12,"2025-08-21 09:42:03"
E2508210942040974095,5,"20250821",M10000041,PEER_RELATIONSHIP,"1001","2026",4,5,1,5,"2025-08-21 09:42:03"
E2508210942040974095,6,"20250821",M10000041,PEER_RELATIONSHIP,"1001","2026",5,5,1,5,"2025-08-21 09:42:03"
E2508210946517403652,1,"20250821",M10000001,PEER_RELATIONSHIP,"1001","2026",1,1,1,1,"2025-08-21 09:46:50"
E2508210946517403652,2,"20250821",M10000001,PEER_RELATIONSHIP,"1001","2026",2,1,1,1,"2025-08-21 09:46:50"
E2508210946517403652,3,"20250821",M10000001,PEER_RELATIONSHIP,"1001","2026",3,1,1,1,"2025-08-21 09:46:50"
E2508210946517403652,4,"20250821",M10000001,PEER_RELATIONSHIP,"1001","2026",4,1,1,1,"2025-08-21 09:46:50"
E2508210946517403652,5,"20250821",M10000001,PEER_RELATIONSHIP,"1001","2026",5,1,1,1,"2025-08-21 09:46:50"
E2508210946517403652,6,"20250821",M10000001,PEER_RELATIONSHIP,"1001","2026",6,1,1,1,"2025-08-21 09:46:50"
E25082113474091475cb,1,"20250821",M10000001,PEER_RELATIONSHIP,"1001","2025",1,10,1,10,"2025-08-21 13:47:42"
E250821142852c5fa85c,1,"20250821",M10000041,PEER_RELATIONSHIP,"1001","2025",1,1,1,1,"2025-08-21 14:28:52"
E250821142852c5fa85c,2,"20250821",M10000041,PEER_RELATIONSHIP,"1002","2025",1,1,1,1,"2025-08-21 14:28:52"
E250821142852c5fa85c,3,"20250821",M10000041,PEER_RELATIONSHIP,"1003","2026",3,1,1,1,"2025-08-21 14:28:52"
E2508211546098aa84db,1,"20250821",M10000001,PEER_RELATIONSHIP,"1002","2025",3,1,1,1,"2025-08-21 15:46:09"
E2508211546098aa84db,2,"20250821",M10000001,PEER_RELATIONSHIP,"1001","2025",5,1,1,1,"2025-08-21 15:46:09"
E25082116081194e2823,1,"20250821",M10000117,PEER_RELATIONSHIP,"1002","2026",2,10,1,10,"2025-08-21 16:08:10"
E25082116081194e2823,2,"20250821",M10000117,PEER_RELATIONSHIP,"1003","2026",1,10,1,10,"2025-08-21 16:08:10"
E250822133013c39af81,1,"20250822",M10000117,PEER_RELATIONSHIP,"1001","2025",1,1,1,1,"2025-08-22 13:30:12"
E250822133013c39af81,2,"20250822",M10000117,PEER_RELATIONSHIP,"1001","2025",4,10,1,10,"2025-08-22 13:30:12"
