"PSY_ORD_NO","PSY_ORD_TARGET","PSY_ORD_TYPE_CD","PSY_ITEM_ID","ORD_DATE","START_DATE","END_DATE","ORD_CNT","REMAIN_CNT","USE_CNT","GRADE1_ORD_CNT","GRADE2_ORD_CNT","GRADE3_ORD_CNT","GRADE4_ORD_CNT","GRADE5_ORD_CNT","GRADE6_ORD_CNT","PRICE","PAYMENT_AMT","ORD_STATUS_CD","MAIN_PAYMENT_METHOD_CD","REG_MEMBER_NO","REG_DATE","MOD_MEMBER_NO","MOD_DATE","CANCEL_MEMBER_NO","CANCEL_DATE"
P250702060658d043581,M10000002,"2003",PEER_RELATIONSHIP,"20250702","20250801","20260228",1,0,,0,0,1,0,0,0,45000,45000,"3000",CARD,M10000002,"2025-07-02 06:06:58",,,,
P250702061223c0936d9,M10000002,"2003",PEER_RELATIONSHIP,"20250702","20250801","20260228",1,0,,0,0,1,0,0,0,45000,45000,"3000",VBANK,M10000002,"2025-07-02 06:12:23",,,,
P2507041007510da4ac5,AC0001,"1001",PEER_RELATIONSHIP,"20250704","20250801","20260228",10,0,,0,0,10,0,0,0,45000,450000,"3000",CARD,M10000001,"2025-07-04 01:07:52",,,,
P2507041029560e3a263,M10000001,"2003",PEER_RELATIONSHIP,"20250704","20250801","20260228",1,0,,0,0,1,0,0,0,45000,45000,"3000",CARD,M10000001,"2025-07-04 01:29:56",,,,
P2507070119218b1e731,AC0001,"1001",PEER_RELATIONSHIP,"20250707","20250801","20260228",25,0,,0,0,25,0,0,0,43000,1075000,"3000",CARD,M10000001,"2025-07-07 01:19:21",,,,
P2507070120459b2ad23,AC0001,"1001",PEER_RELATIONSHIP,"20250707","20250801","20260228",10,0,,0,0,0,10,0,0,45000,450000,"3000",CARD,M10000001,"2025-07-07 01:20:45",,,,
P25070702061139938f4,AC0002,"1002",PEER_RELATIONSHIP,"20250707","20250301","20260228",1,0,,0,0,0,1,0,0,43000,43000,"3000",CARD,M10000003,"2025-07-07 02:06:11",,,,
P2507070206186d7cf42,AC0002,"1001",PEER_RELATIONSHIP,"20250707","20250801","20260228",1,0,,0,0,0,0,1,0,45000,45000,"3000",CARD,M10000003,"2025-07-07 02:06:18",,,,
P250707020626e230921,M10000003,"2003",PEER_RELATIONSHIP,"20250707","20250801","20260228",1,0,,0,0,0,0,1,0,45000,45000,"3000",CARD,M10000003,"2025-07-07 02:06:26",,,,
P2507070211334306775,AC0378,"1001",PEER_RELATIONSHIP,"20250707","20250801","20260228",10,0,,0,0,0,10,0,0,45000,450000,"3000",CARD,M10000006,"2025-07-07 02:11:33",,,,
