"SCHOOL_CODE","MEMBER_NO","USE_YN","MEMO","REG_MEMBER_NO","REG_DATE","MOD_MEMBER_NO","MOD_DATE"
"",M10000049,Y,aaa,M10000049,"2025-07-11 00:13:39",M10000049,"2025-07-11 00:14:56"
AC0001,M10000001,Y,"",M10000001,"2025-07-04 01:02:11",M10000001,"2025-07-18 13:28:21"
AC0001,M10000002,Y,특이사항,M10000001,"2025-07-07 02:34:18",M10000001,"2025-07-07 07:10:39"
AC0001,M10000007,Y,테스트,M10000001,"2025-07-07 02:27:04",M10000001,"2025-07-07 04:19:36"
AC0001,M10000009,Y,,M10000001,"2025-07-16 14:24:00",,
AC0001,M10000118,Y,,M10000001,"2025-07-30 16:46:29",,
AC0001,M10000119,Y,,M10000001,"2025-07-30 16:48:44",,
AC0001,M10000154,Y,,M10000001,"2025-08-20 15:55:38",,
AC0001,M10000156,Y,,M10000001,"2025-08-21 16:53:52",,
AC0002,M10000003,Y,특이사항!!!!!!!,M10000004,"2025-07-09 02:02:33",M10000003,"2025-07-31 13:40:56"
AC0002,M10000004,Y,,M10000003,"2025-07-08 06:12:01",,
AC0002,M10000026,Y,특,M10000003,"2025-07-11 17:04:43",M10000003,"2025-07-11 17:08:10"
AC0002,M10000041,Y,교사 특이사항,M10000003,"2025-07-11 02:09:11",M10000003,"2025-07-11 16:15:08"
AC0004,M10000013,Y,특이사항,M10000013,"2025-07-07 08:27:25",M10000013,"2025-07-07 08:27:39"
AC0033,M10000016,Y,,M10000015,"2025-07-09 01:05:10",,
AC0033,M10000018,Y,,M10000015,"2025-07-09 01:04:43",,
AC0033,M10000019,Y,"",M10000015,"2025-07-09 01:04:48",M10000015,"2025-07-09 01:21:03"
AC0166,M10000123,Y,,M10000123,"2025-07-31 11:34:29",,
AC0166,M10000124,Y,,M10000123,"2025-07-31 11:34:41",,
AC0280,M10000020,Y,,M10000030,"2025-07-09 01:10:26",,
AC0280,M10000023,Y,동명이인임. (마운) 이한별이고 6학년3반담임임 이런식으로 메모를 길게 작성한다면 어떤식으로 화면에서 보일지 모르겠어서 테스트용으로 길게 작성해봄.,M10000029,"2025-07-08 09:05:20",M10000030,"2025-07-09 01:34:00"
AC0280,M10000024,Y,,M10000030,"2025-07-09 00:52:47",,
AC0280,M10000030,Y,,M10000030,"2025-07-09 00:52:51",,
AC0302,M10000039,Y,"4학년 2반 담임교사",M10000040,"2025-07-09 09:04:37",M10000040,"2025-07-10 00:04:44"
AC0302,M10000044,Y,"3학년 1반 담임교사",M10000040,"2025-07-10 02:30:15",M10000040,"2025-07-10 02:30:37"
AC0302,M10000045,Y,"5학년 3반 담임교사",M10000040,"2025-07-10 02:33:45",M10000040,"2025-07-10 02:33:56"
AC0378,M10000006,Y,"3반3반3반3반3반3반3반3반3반3반3반3반3반3반3반3반3반3반3반3반3반3반",M10000006,"2025-07-07 01:53:29",M10000006,"2025-07-07 06:58:09"
AC0378,M10000008,Y,,M10000006,"2025-07-07 06:31:53",,
AC0378,M10000034,Y,,M10000006,"2025-07-24 10:37:10",,
AC0378,M10000065,Y,,M10000006,"2025-07-21 15:26:53",,
AC0430,M10000057,Y,,M10000057,"2025-07-11 13:03:03",,
AC0430,M10000058,Y,"",M10000057,"2025-07-24 09:31:40",M10000057,"2025-07-24 09:31:58"
AC0430,M10000076,Y,,M10000057,"2025-07-24 09:30:14",,
AC0430,M10000100,N,,M10000057,"2025-07-25 11:56:55",M10000100,"2025-08-12 14:48:21"
AC0539,M10000100,Y,,M10000117,"2025-08-12 14:51:11",,
AC0539,M10000107,N,,M10000117,"2025-07-30 17:37:28",M10000107,"2025-07-31 13:48:39"
AC0539,M10000114,Y,,M10000117,"2025-08-28 17:35:34",,
AC0539,M10000117,Y,,M10000117,"2025-08-29 09:16:31",,
AC0590,M10000126,Y,,M10000126,"2025-08-04 10:30:13",,
DC0092,M10000097,Y,,M10000097,"2025-07-24 10:22:21",,
DC0092,M10000098,Y,,M10000097,"2025-07-24 15:14:28",,
DC0148,M10000061,Y,,M10000061,"2025-07-16 15:22:34",,
DC0148,M10000062,Y,,M10000061,"2025-07-12 20:04:34",,
DC0148,M10000063,Y,,M10000061,"2025-07-16 15:22:38",,
DC0236,M10000079,Y,,M10000079,"2025-07-19 16:02:24",,
DC0236,M10000080,Y,,M10000079,"2025-07-19 16:02:28",,
DC0236,M10000081,Y,,M10000079,"2025-07-19 16:02:31",,
DC0236,M10000082,Y,,M10000079,"2025-07-19 16:02:35",,
EC0208,M10000059,Y,,M10000059,"2025-07-11 20:12:45",,
EC0208,M10000060,Y,,M10000059,"2025-07-11 20:12:48",,
EC0221,M10000094,Y,,M10000094,"2025-07-23 19:11:22",,
EC0221,M10000095,Y,,M10000094,"2025-07-23 19:11:24",,
FC0004,M10000051,Y,,M10000051,"2025-07-11 01:45:41",,
LC0414,M10000064,Y,,M10000085,"2025-07-19 16:00:38",,
LC0414,M10000068,Y,,M10000085,"2025-07-19 15:58:44",,
LC0414,M10000069,Y,,M10000085,"2025-07-19 15:59:16",,
LC0414,M10000070,Y,,M10000085,"2025-07-19 16:00:35",,
LC0414,M10000071,Y,,M10000085,"2025-07-19 16:00:30",,
LC0414,M10000072,Y,,M10000085,"2025-07-19 16:00:27",,
LC0414,M10000073,Y,,M10000085,"2025-07-19 16:00:23",,
LC0414,M10000074,Y,,M10000085,"2025-07-19 15:59:57",,
LC0414,M10000085,Y,,M10000085,"2025-07-19 15:59:46",,
LC0489,M10000005,Y,잘 생겼다.!,M10000005,"2025-07-07 04:13:13",M10000005,"2025-07-07 04:19:03"
LC0489,M10000122,Y,,M10000017,"2025-07-31 11:23:10",,
LC0726,M10000025,Y,,M10000025,"2025-08-25 10:57:01",,
LD0635,M10000138,N,,M10000139,"2025-08-14 14:17:40",M10000138,"2025-08-14 16:27:31"
LD0635,M10000139,Y,,M10000138,"2025-08-14 14:21:03",,
QC0159,M10000037,Y,"첫 생성입니다.


",M10000037,"2025-07-09 07:30:09",M10000037,"2025-07-09 07:30:40"
TC0461,M10000086,Y,,M10000077,"2025-07-21 14:31:59",,
TC0461,M10000087,Y,,M10000077,"2025-07-21 14:32:03",,
TC0461,M10000088,Y,,M10000077,"2025-07-21 14:32:07",,
TC0461,M10000089,Y,,M10000077,"2025-07-21 14:32:11",,
TC0461,M10000090,Y,,M10000077,"2025-07-24 09:40:27",,
TC0461,M10000091,Y,,M10000077,"2025-07-24 09:40:31",,
WC0074,M10000033,Y,,M10000032,"2025-07-09 01:59:58",,
